"","x"
"244","Juniperus"
"245","Juniperus.Thuja"
"246","Kalmia"
"247","Lamiaceae"
"248","Lamiaceae.undiff."
"249","Larix"
"250","Larix.laricina"
"251","lat"
"252","Lemna"
"253","Liliaceae"
"254","Linnaea.borealis"
"255","Linum"
"256","Liquidambar"
"257","Liquidambar.styraciflua"
"258","Liriodendron"
"259","Liriodendron.tulipifera"
"260","Littorella"
"261","Lobelia.type"
"262","lon"
"263","Lonicera"
"264","Lycopodiaceae"
"265","Lycopodiaceae.undiff."
"266","Lycopodiella.inundata"
"267","Lycopodium"
"268","Lycopodium.annotinum"
"269","Lycopodium.annotinum.type"
"270","Lycopodium.clavatum"
"271","Lycopodium.obscurum"
"272","Lycopodium.type"
"273","Lycopodium.undiff."
"274","Lycopus"
"275","Magnolia"
"276","Maianthemum"
"277","Matteuccia.struthiopteris"
"278","Melampyrum"
"279","Melampyrum.type"
"280","Menispermum"
"281","Mentha"
"282","Mentha.arvensis"
"283","Menyanthes"
"284","Menyanthes.trifoliata"
"285","Micranthes.cf..M..punctata"
"286","Micranthes.cf..M..stellaris"
"287","Mitchella.repens"
"288","Monotropa"
"289","Moraceae"
"290","Moraceae.undiff."
"291","Morus"
"292","Myrica"
"293","Myricaceae"
"294","Myrica.Comptonia.peregrina"
"295","Myrica.gale"
"296","Myriophyllum"
"297","Myriophyllum.alterniflorum"
"298","Myriophyllum.sibiricum.type"
"299","Nemopanthus"
"300","Nuphar"
"301","Nymphaea"
"302","Nymphaeaceae"
"303","Nymphaeaceae.undiff."
"304","Nymphoides"
"305","Nyssa"
"306","Oenothera"
"307","Onagraceae"
"308","Onagraceae.undiff."
"309","Ononis.type"
"310","Ophioglossaceae"
"311","Ophioglossum"
"312","Ophioglossum.type"
"313","Orchidaceae"
"314","Osmunda"
"315","Osmundaceae"
"316","Osmundaceae.undiff."
"317","Osmunda.regalis.O..claytoniana"
"318","Osmunda.regalis.type"
"319","Osmundastrum.cinnamomeum"
"320","Ostrya"
"321","Ostrya.Carpinus"
"322","Oxalidaceae"
"323","Oxyria.digyna"
"324","Parnassia"
"325","Parthenocissus"
"326","Pediastrum"
"327","Pedicularis"
"328","Persicaria.amphibia"
"329","Persicaria.lapathifolia"
"330","Persicaria.lapathifolia.type"
"331","Picea"
"332","Picea.glauca"
"333","Picea.mariana"
"334","Picea.mariana.type"
"335","Picea.undiff."
"336","Pinaceae.undiff."
"337","Pinus"
"338","Pinus.banksiana.P..resinosa"
"339","Pinus.strobus"
"340","Pinus.subg..Pinus"
"341","Pinus.subg..Pinus.undiff."
"342","Pinus.subg..Strobus"
"343","Pinus.subg..Strobus.undiff."
"344","Pinus.undiff."
"345","Plantago"
"346","Plantago.lanceolata"
"347","Plantago.lanceolata.type"
"348","Plantago.major"
"349","Plantago.media"
"350","Plantago.rigida.type"
"351","Plantago.undiff."
"352","Platanus"
"353","Platanus.occidentalis"
"354","Plumbaginaceae"
"355","Poaceae"
"356","Poaceae..Cerealia."
"357","Poaceae..Cerealia..undiff."
"358","Poaceae.undiff."
"359","Polemoniaceae"
"360","Polemonium"
"361","Polygalaceae"
"362","Polygonaceae"
"363","Polygonaceae.undiff."
"364","Polygonum"
"365","Polygonum.aviculare.type"
"366","Polygonum.sensu.lato"
"367","Polygonum.sensu.lato.undiff."
"368","Polypodiaceae"
"369","Polypodiaceae.undiff."
"370","Polypodiophyta"
"371","Polypodiophyta.undiff."
"372","Polypodium"
"373","Polypodium.type"
"374","Polypodium.virginianum"
"375","Pontederia"
"376","Pontederiaceae"
"377","Populus"
"378","Populus.balsamifera.type"
"379","Populus.tremuloides"
"380","Populus.tremuloides.type"
"381","Populus.undiff."
"382","Portulacaceae"
"383","Potamogeton"
"384","Potamogetonaceae"
"385","Potamogeton.Triglochin"
"386","Potentilla"
"387","Potentilla.type"
"388","Primulaceae"
"389","Prunella"
"390","Prunus"
"391","Prunus.cf..P..serotina"
"392","Prunus.Pyrus"
"393","Prunus.Sorbus"
"394","Prunus.type"
"395","Prunus.type.undiff."
"396","Pteridium"
"397","Pteridium.aquilinum"
"398","Pteridium.type"
"399","Pteridophyta.undiff."
"400","Pterocarya"
"401","Quercus"
"402","Ranunculaceae"
"403","Ranunculaceae.undiff."
"404","Ranunculus"
"405","Ranunculus.acris.type"
"406","Ranunculus.flabellaris"
"407","Ranunculus.type.undiff."
"408","Rhamnaceae"
"409","Rhamnaceae.Vitaceae"
"410","Rhamnaceae.Vitaceae.undiff."
"411","Rhamnus"
"412","Rhamnus.cathartica"
"413","Rhamnus.Vitis"
"414","Rhododendron"
"415","Rhododendron.subsect..Ledum.Chamaedaphne.calyculata"
"416","Rhus"
"417","Rhus.typhina.type"
"418","Ribes"
"419","Rosa"
"420","Rosaceae"
"421","Rosaceae.undiff."
"422","Rubiaceae"
"423","Rubiaceae.undiff."
"424","Rubus"
"425","Rubus.cf..R..chamaemorus"
"426","Rubus.type"
"427","Rumex"
"428","Rumex.acetosa.type"
"429","Rumex.Oxyria.digyna.undiff."
"430","Sagittaria"
"431","Salix"
"432","Salsola"
"433","Sambucus"
"434","Sambucus.racemosa"
"435","sample.number"
"436","Sanguisorba"
"437","Sanguisorba.canadensis"
"438","Sapindaceae"
"439","Sarcobatus"
"440","Sarcobatus.vermiculatus"
"441","Sarracenia"
"442","Saxifraga"
"443","Saxifragaceae"
"444","Saxifraga.type"
"445","Saxifraga.undiff."
"446","Scrophulariaceae"
"447","Secale"
"448","Secale.type"
"449","Selaginella"
"450","Selaginella.selaginoides"
"451","Shepherdia"
"452","Shepherdia.argentea"
"453","Shepherdia.canadensis"
"454","Sisyrinchium"
"455","site.id"
"456","site.name"
"457","Sium"
"458","Smilax"
"459","Solanaceae"
"460","Sparganium"
"461","Sparganium.type"
"462","Spermatophyta.undiff...aquatics."
"463","Spermatophyta.undiff...shrubs."
"464","Spermatophyta.undiff...trees."
"465","Sphagnum"
"466","Spiraea.type"
"467","Sporormiella"
"468","Stachys"
"469","Stachys.type"
"470","Stellaria"
"471","Stellaria.type"
"472","Suaeda"
"473","Taxodium"
"474","Taxus"
"475","Thalictrum"
"476","Thelypteris.palustris"
"477","Thuja"
"478","Tilia"
"479","Tilia.americana"
"480","Tilletia"
"481","Toxicodendron.radicans"
"482","Tradescantia"
"483","Trifolium"
"484","Trifolium.type"
"485","Triticum"
"486","Tsuga"
"487","Tsuga.canadensis"
"488","Typha"
"489","Typha.angustifolia"
"490","Typha.latifolia"
"491","Typha.latifolia.type"
"492","Typha.Sparganium"
"493","Typha.Sparganium.undiff."
"494","Typha..tetrad."
"495","Typha.undiff."
"496","Ulmus"
"497","Ulota"
"498","Unknown"
"499","Unknown..alete."
"500","Unknown.Indeterminable"
"501","Unknown..monolete."
"502","Unknown..monolete..undiff."
"503","Unknown.pollen.spore.NISP"
"504","Unknown.spore.NISP"
"505","Unknown..trilete."
"506","Unknown..trilete..undiff."
"507","Unknown.undiff."
"508","Urtica"
"509","Urticaceae"
"510","Urticaceae.Moraceae"
"511","Urtica.type"
"512","Utricularia"
"513","Vaccinium"
"514","Valeriana"
"515","Verbena"
"516","Viburnum"
"517","Vicia.type"
"518","Viola"
"519","Violaceae"
"520","Vitaceae"
"521","Vitis"
"522","Vitis.riparia"
"523","Woodsia"
"524","Woodsia.type"
"525","Xanthium"
"526","Xyris"
"527","Zea"
"528","Zea.mays"
