"","site.id","dataset.id","site.name","lon","lat","depth","sample.number","Ash","Beech","Birch","Chestnut","Elm","Hemlock","Hickory","Maple","Oak","Other conifer","Other hardwood","Pine","Poplar","Spruce","Tamarack"
"49","11805",17880,"Lost Swamp",-72.4211,42.82814,29,13,5,85,185,8,1,35,3,30,24,0,30,52.5,0,1.5,0
"50","701",721,"Donut Pond Bog",-70.058333,41.275,96,15,5,10,51,0,5,23,2,4,186,0,22,65.5,0,9,0
"51","1610",1661,"Longswamp",-75.666667,40.483333,20,5,3,10,11,57,0,5,11,4,181,0,5,11,2,0,0
"52","1789",1848,"Panther Run Pond",-77.416667,40.8,30,3,1,2,35,9,3,6,9,5,122,0,24,45,0,0,0
"53","1896",1961,"Poland Spring Pond",-70.35,44.033333,395.5,6,5,39,82,1,2,29,1,8,85,1,20,32,3,5,0
"54","2308",2391,"Sinkhole Pond",-70.35,43.966667,1249.5,6,7,43,103,0,1,71,2,13,13,0,7,73,8,25,0
"55","2507",2591,"Spring Lake",-76.35,41.673889,120,4,3,20,40,1,1,81,6,6,42,0,12,145,0,3,0
"56","2533",2623,"Szabo Pond",-74.483333,40.4,120,5,1,4,7,0,4,0,17,1,210,2,10,9,0,1,0
"57","2536",2626,"Tannersville Bog",-75.266667,41.033333,136,7,0,12,25,5,5,26,11,2,153,0,10,32,6,1,0
"58","3530",4558,"Dead Frog Pond",-72.508611,42.574444,31,16,6,47,80,24,4,44,15,23,115,0,9,175,0,1,0
"59","6510",10972,"Hemlock Hollow",-72.178,42.5375,16,17,2,38,83,12,0,169,2,19,82,0,5,63,0,6,0
"60","9708",14370,"Linsley Pond",-72.784335,41.317115,120,29,2,8,23,19,5,6,16,4,120,0,31,11,0,1,0
"61","10020",14997,"Round Pond",-70.010335,41.97078,30,16,2,11,33,1,1,28,6,1,84,3,11,323,1,4,0
"62","10023",15003,"Icehouse Pond",-69.960575,41.797995,152,20,4,16,40,1,3,16,30,17,203,4,35,105,0,5,0
"63","10362",15764,"Lily Pond",-72.34693,42.417875,50,21,6,61,70,56,4,33,15,14,190,2,20,67,1,7.5,0
"64","10389",15820,"Prospect Hill II",-72.18,42.5625,21,15,1,16,26,17,0,11,0,0,20,0,1,7,0,1,0
"65","10400",15857,"Slab City",-72.1775,42.508,19,19,20,32,108,72,2,107,2,9,84,0,5,67.5,0,0,0
"66","10424",15909,"Ballston Lake",-73.85325,42.94975,235,7,9,140,30,0,6,100,31,14,69,4,17,81,3,2,4
"67","13633",20627,"Snake Pond",-72.016405,42.55585,43,22,0,108,100,7,5,129,3,16,71,1,8,41,1,22,0
"68","1611",1663,"Loon Pond",-68.2,45.033333,1000,5,2,38,113,0,3,35,0,1,9,1,17,50,0,19,0
"69","10021",14999,"Deep Pond",-69.992095,41.739125,84,22,6,19,43,5,3,11,17,9,280,2,22,57,0,1.5,0
"70","10438",15944,"Silver Lake",-72.22854,42.600775,47,24,6,39,113,20,3,40,3,16,85,1,12,114,0,3,0
"71","13629",20618,"Quag Pond",-71.95695,42.56725,46,23,5,105,146,7,2,105,3,11,62,3,6,42,0,14,1
"72","10025",15007,"Eagle Pond",-70.13606,41.6982,36,10,1,7,66,2,5,5,4,3,147,0,8,233,0,1,0
"73","10028",15020,"Sandy Hill Pond",-70.36407,41.689985,64,9,8,14,33,2,10,22,31,6,308,0,8,121.5,0,4,0
