"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"12329",1469000,390000,0.0029336,6.8e-06,0.0011,0.0022132,0.0052608,0.000588,0.1230412,0.0082764,0.0016772,1.04e-05,0.000714,0.0769328,0.0019208,0.0217096,0.5000684,0.222214,7.2e-06,1.48e-05,0.0015148,0.0102836,0.010566,4e-07,0.008946
"12330",1477000,390000,0.0028488,7.2e-06,0.0010084,0.0014728,0.0043904,0.0007616,0.152812,0.0064408,0.0015684,3.28e-05,0.0007844,0.0633744,0.001952,0.0191556,0.4344068,0.2694376,1.4e-05,3.6e-06,0.0016772,0.0118556,0.0175744,3.6e-06,0.0084176
"12331",1485000,390000,0.0024244,2.92e-05,0.0007616,0.000924,0.0045564,0.0005868,0.1628776,0.0041368,0.0011512,8e-06,0.000632,0.0311544,0.0024304,0.0179784,0.3759808,0.3566252,2e-07,2.8e-06,0.000896,0.0096912,0.0210416,9.6e-06,0.0061016
"12332",1493000,390000,0.0017248,4.08e-05,0.0004104,0.0005304,0.0036928,0.0002668,0.1160772,0.0020336,0.0009944,1.36e-05,0.0002936,0.0109156,0.0013164,0.0141456,0.2760368,0.5279976,1e-05,6.8e-06,0.0005252,0.0068584,0.0335628,8e-07,0.0025456
"12333",1501000,390000,0.001514,9.6e-06,0.0002668,0.0003508,0.0026192,0.000226,0.1168252,0.0015056,0.0010764,2e-07,0.0002428,0.0111192,0.001328,0.0097468,0.1678192,0.6495772,2.8e-06,8e-07,0.000478,0.004168,0.0290712,6.8e-06,0.0020456
"12334",1509000,390000,0.0024292,2.4e-06,0.0004072,0.0003372,0.00309,0.0003424,0.1603476,0.0017608,0.0014132,9.6e-06,0.00021,0.0268736,0.0024436,0.0087672,0.2049168,0.5536484,2e-06,8.4e-06,0.0006824,0.004712,0.0248028,2.4e-06,0.0027908
"12335",1517000,390000,0.005614,2.8e-06,0.0008048,0.0020568,0.0043564,0.0006564,0.1522796,0.0045668,0.002648,5.2e-06,0.0008088,0.0707864,0.0026068,0.0154484,0.3431256,0.347858,2.4e-06,2.4e-06,0.001536,0.0095424,0.0282688,1.64e-05,0.0070068
"12336",1525000,390000,0.007084,1.32e-05,0.0009412,0.0037164,0.0055092,0.0007952,0.1277252,0.0061672,0.0032824,1e-05,0.0007168,0.1049484,0.0022228,0.0168804,0.4702848,0.1992612,7.2e-06,2e-06,0.0019508,0.0084204,0.02924,6.4e-06,0.0108148
"12337",1533000,390000,0.0099668,1.4e-05,0.0009456,0.0031696,0.0074,0.0013536,0.1095932,0.0085144,0.0064384,7.2e-06,0.000554,0.1414836,0.0031636,0.0197472,0.5134072,0.1217036,2.68e-05,1.2e-06,0.002386,0.0097604,0.0272924,6.96e-05,0.0130016
"12338",1541000,390000,0.0104768,1.6e-05,0.0008508,0.0065372,0.0072664,0.0012636,0.0866896,0.0104572,0.0067416,3.56e-05,0.0007344,0.1646324,0.0022256,0.0173668,0.55885,0.073824,4e-06,5.2e-06,0.0021748,0.010204,0.0261712,1.64e-05,0.0134564
"12339",1549000,390000,0.011926,0.000222,0.0009164,0.0042796,0.0071084,0.0011788,0.070902,0.0074056,0.0056424,6e-06,0.000972,0.1844988,0.0028704,0.0168104,0.5889488,0.0398752,3.28e-05,4e-06,0.0022084,0.0092936,0.0276872,1.12e-05,0.0172
"12340",1557000,390000,0.0113096,4e-05,0.000926,0.0056716,0.0054868,0.0009724,0.0576724,0.0068924,0.005958,6.8e-06,0.0005744,0.182766,0.002106,0.0192596,0.6270452,0.0218388,4.64e-05,3.2e-05,0.001486,0.0091492,0.025258,3.2e-06,0.0154992
